datasets1/00001.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/01090.png: JAGGED_BOUNDARY (area=3884px, blobs=3, roughness=5.08)
datasets1/01096.png: JAGGED_BOUNDARY (area=10906px, blobs=5, roughness=4.338)
datasets1/01098.png: JAGGED_BOUNDARY (area=1167px, blobs=3, roughness=3.848)
datasets1/01100.png: JAGGED_BOUNDARY (area=360px, blobs=1, roughness=4.031)
datasets1/01101.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/01104.png: JAGGED_BOUNDARY (area=451px, blobs=1, roughness=3.937)
datasets1/01105.png: JAGGED_BOUNDARY (area=3730px, blobs=2, roughness=7.695)
datasets1/01107.png: JAGGED_BOUNDARY (area=727px, blobs=1, roughness=8.795)
datasets1/01108.png: JAGGED_BOUNDARY (area=20380px, blobs=1, roughness=3.55)
datasets1/01109.png: JAGGED_BOUNDARY (area=8780px, blobs=3, roughness=4.493)
datasets1/01110.png: JAGGED_BOUNDARY (area=3906px, blobs=2, roughness=6.198)
datasets1/01113.png: JAGGED_BOUNDARY (area=2313px, blobs=2, roughness=7.931)
datasets1/01114.png: JAGGED_BOUNDARY (area=2578px, blobs=2, roughness=6.948)
datasets1/01115.png: JAGGED_BOUNDARY (area=762px, blobs=1, roughness=8.454)
datasets1/01117.png: JAGGED_BOUNDARY (area=8180px, blobs=5, roughness=3.674)
datasets1/01118.png: JAGGED_BOUNDARY (area=4218px, blobs=1, roughness=12.554)
datasets1/01119.png: JAGGED_BOUNDARY (area=6823px, blobs=2, roughness=7.6)
datasets1/01120.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/01121.png: JAGGED_BOUNDARY (area=3289px, blobs=2, roughness=18.645)
datasets1/01123.png: JAGGED_BOUNDARY (area=22593px, blobs=1, roughness=4.457)
datasets1/01124.png: JAGGED_BOUNDARY (area=3426px, blobs=2, roughness=17.654)
datasets1/01127.png: JAGGED_BOUNDARY (area=4219px, blobs=4, roughness=4.252)
datasets1/01129.png: JAGGED_BOUNDARY (area=3611px, blobs=3, roughness=3.648)
datasets1/01131.png: JAGGED_BOUNDARY (area=1125px, blobs=3, roughness=3.754)
datasets1/01132.png: JAGGED_BOUNDARY (area=1371px, blobs=4, roughness=3.575)
datasets1/01135.png: JAGGED_BOUNDARY (area=3820px, blobs=3, roughness=3.741)
datasets1/01137.png: JAGGED_BOUNDARY (area=3884px, blobs=3, roughness=5.08)
datasets1/01138.png: JAGGED_BOUNDARY (area=5767px, blobs=4, roughness=3.65)
datasets1/01139.png: JAGGED_BOUNDARY (area=3770px, blobs=2, roughness=15.249)
datasets1/01140.png: JAGGED_BOUNDARY (area=22593px, blobs=1, roughness=4.457)
datasets1/01141.png: JAGGED_BOUNDARY (area=360px, blobs=1, roughness=4.031)
datasets1/01146.png: JAGGED_BOUNDARY (area=19039px, blobs=2, roughness=4.437)
datasets1/01147.png: JAGGED_BOUNDARY (area=21635px, blobs=1, roughness=5.745)
datasets1/01150.png: JAGGED_BOUNDARY (area=669px, blobs=1, roughness=8.132)
datasets1/01151.png: JAGGED_BOUNDARY (area=6778px, blobs=4, roughness=3.713)
datasets1/01155.png: JAGGED_BOUNDARY (area=19490px, blobs=2, roughness=5.657)
datasets1/01157.png: JAGGED_BOUNDARY (area=24804px, blobs=1, roughness=4.127)
datasets1/01161.png: JAGGED_BOUNDARY (area=706px, blobs=1, roughness=8.498)
datasets1/01163.png: JAGGED_BOUNDARY (area=3613px, blobs=2, roughness=16.152)
datasets1/01166.png: JAGGED_BOUNDARY (area=3227px, blobs=3, roughness=3.58)
datasets1/01167.png: JAGGED_BOUNDARY (area=3041px, blobs=1, roughness=11.262)
datasets1/01168.png: JAGGED_BOUNDARY (area=1866px, blobs=3, roughness=5.344)
datasets1/01170.png: JAGGED_BOUNDARY (area=3888px, blobs=3, roughness=4.607)
datasets1/01171.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/01172.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/01176.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/01177.png: JAGGED_BOUNDARY (area=3031px, blobs=3, roughness=3.66)
datasets1/01178.png: JAGGED_BOUNDARY (area=5939px, blobs=2, roughness=8.601)
datasets1/01179.png: JAGGED_BOUNDARY (area=3363px, blobs=1, roughness=10.513)
datasets1/01181.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/01187.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/01188.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/01190.png: JAGGED_BOUNDARY (area=3506px, blobs=1, roughness=12.647)
datasets1/01191.png: JAGGED_BOUNDARY (area=7212px, blobs=4, roughness=3.787)
datasets1/01195.png: JAGGED_BOUNDARY (area=2158px, blobs=2, roughness=8.471)
datasets1/01197.png: JAGGED_BOUNDARY (area=11371px, blobs=6, roughness=4.17)
datasets1/01198.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/01203.png: JAGGED_BOUNDARY (area=1167px, blobs=3, roughness=3.848)
datasets1/01204.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/01207.png: JAGGED_BOUNDARY (area=207px, blobs=2, roughness=3.524)
datasets1/01208.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/01209.png: JAGGED_BOUNDARY (area=2825px, blobs=1, roughness=10.615)
datasets1/01210.png: JAGGED_BOUNDARY (area=2169px, blobs=2, roughness=8.424)
datasets1/01211.png: JAGGED_BOUNDARY (area=21062px, blobs=1, roughness=5.117)
datasets1/01212.png: JAGGED_BOUNDARY (area=12085px, blobs=4, roughness=4.97)
datasets1/01213.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/01214.png: JAGGED_BOUNDARY (area=19949px, blobs=2, roughness=3.732)
datasets1/01215.png: JAGGED_BOUNDARY (area=315px, blobs=1, roughness=3.856)
datasets1/01216.png: JAGGED_BOUNDARY (area=2092px, blobs=2, roughness=8.246)
datasets1/01217.png: JAGGED_BOUNDARY (area=6491px, blobs=4, roughness=3.65)
datasets1/01218.png: JAGGED_BOUNDARY (area=1010px, blobs=3, roughness=3.924)
datasets1/01219.png: JAGGED_BOUNDARY (area=595px, blobs=1, roughness=9.145)
datasets1/01220.png: JAGGED_BOUNDARY (area=3669px, blobs=3, roughness=4.698)
datasets1/01221.png: JAGGED_BOUNDARY (area=17428px, blobs=2, roughness=3.668)
datasets1/01224.png: JAGGED_BOUNDARY (area=3190px, blobs=3, roughness=3.603)
datasets1/01225.png: JAGGED_BOUNDARY (area=23693px, blobs=1, roughness=4.65)
datasets1/01227.png: JAGGED_BOUNDARY (area=2065px, blobs=1, roughness=11.415)
datasets1/01233.png: JAGGED_BOUNDARY (area=3073px, blobs=2, roughness=6.198)
datasets1/01234.png: JAGGED_BOUNDARY (area=9644px, blobs=2, roughness=4.418)
datasets1/01235.png: JAGGED_BOUNDARY (area=360px, blobs=1, roughness=4.031)
datasets1/01236.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/01237.png: JAGGED_BOUNDARY (area=422px, blobs=2, roughness=3.761)
datasets1/01238.png: JAGGED_BOUNDARY (area=3703px, blobs=1, roughness=9.901)
datasets1/01240.png: JAGGED_BOUNDARY (area=20805px, blobs=1, roughness=5.176)
datasets1/01241.png: JAGGED_BOUNDARY (area=12216px, blobs=5, roughness=4.454)
datasets1/01243.png: JAGGED_BOUNDARY (area=3885px, blobs=1, roughness=13.377)
datasets1/01245.png: JAGGED_BOUNDARY (area=3884px, blobs=3, roughness=5.08)
datasets1/01247.png: JAGGED_BOUNDARY (area=694px, blobs=1, roughness=8.371)
datasets1/01248.png: JAGGED_BOUNDARY (area=6702px, blobs=2, roughness=7.862)
datasets1/01249.png: JAGGED_BOUNDARY (area=2054px, blobs=1, roughness=11.426)
datasets1/01251.png: JAGGED_BOUNDARY (area=1711px, blobs=2, roughness=8.893)
datasets1/01253.png: JAGGED_BOUNDARY (area=1937px, blobs=2, roughness=7.036)
datasets1/01254.png: JAGGED_BOUNDARY (area=292px, blobs=1, roughness=4.326)
datasets1/01256.png: JAGGED_BOUNDARY (area=387px, blobs=1, roughness=3.944)
datasets1/01257.png: JAGGED_BOUNDARY (area=10800px, blobs=6, roughness=4.28)
datasets1/01258.png: JAGGED_BOUNDARY (area=467px, blobs=1, roughness=4.4)
datasets1/01260.png: JAGGED_BOUNDARY (area=21644px, blobs=1, roughness=6.064)
datasets1/01261.png: JAGGED_BOUNDARY (area=1108px, blobs=2, roughness=7.347)
datasets1/01262.png: JAGGED_BOUNDARY (area=2477px, blobs=1, roughness=11.591)
datasets1/01269.png: JAGGED_BOUNDARY (area=434px, blobs=1, roughness=4.224)
datasets1/01270.png: JAGGED_BOUNDARY (area=4331px, blobs=3, roughness=3.792)
datasets1/01271.png: JAGGED_BOUNDARY (area=3363px, blobs=1, roughness=20.501)
datasets1/01273.png: JAGGED_BOUNDARY (area=1767px, blobs=2, roughness=7.992)
datasets1/01275.png: JAGGED_BOUNDARY (area=2255px, blobs=2, roughness=7.202)
datasets1/01276.png: JAGGED_BOUNDARY (area=6293px, blobs=1, roughness=15.517)
datasets1/01277.png: JAGGED_BOUNDARY (area=725px, blobs=1, roughness=8.674)
datasets1/01279.png: JAGGED_BOUNDARY (area=21750px, blobs=1, roughness=4.991)
datasets1/01280.png: JAGGED_BOUNDARY (area=3922px, blobs=2, roughness=14.716)
datasets1/01282.png: JAGGED_BOUNDARY (area=3315px, blobs=1, roughness=12.072)
datasets1/01284.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/01285.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/01286.png: JAGGED_BOUNDARY (area=1855px, blobs=2, roughness=8.275)
datasets1/01288.png: JAGGED_BOUNDARY (area=3611px, blobs=3, roughness=3.648)
datasets1/01290.png: JAGGED_BOUNDARY (area=676px, blobs=2, roughness=8.692)
datasets1/01291.png: JAGGED_BOUNDARY (area=1167px, blobs=3, roughness=3.848)
datasets1/01293.png: JAGGED_BOUNDARY (area=2287px, blobs=1, roughness=10.957)
datasets1/01295.png: JAGGED_BOUNDARY (area=2187px, blobs=2, roughness=7.08)
datasets1/01298.png: JAGGED_BOUNDARY (area=4110px, blobs=1, roughness=12.407)
datasets1/01299.png: JAGGED_BOUNDARY (area=2885px, blobs=1, roughness=10.904)
datasets1/01300.png: JAGGED_BOUNDARY (area=1312px, blobs=3, roughness=6.051)
datasets1/01303.png: JAGGED_BOUNDARY (area=2382px, blobs=2, roughness=8.477)
datasets1/01304.png: JAGGED_BOUNDARY (area=3482px, blobs=1, roughness=10.916)
datasets1/01305.png: JAGGED_BOUNDARY (area=3478px, blobs=1, roughness=21.358)
datasets1/01312.png: JAGGED_BOUNDARY (area=8364px, blobs=3, roughness=3.632)
datasets1/01313.png: JAGGED_BOUNDARY (area=3912px, blobs=2, roughness=15.529)
datasets1/01316.png: JAGGED_BOUNDARY (area=2267px, blobs=2, roughness=8.202)
datasets1/01317.png: JAGGED_BOUNDARY (area=12085px, blobs=4, roughness=4.97)
datasets1/01318.png: JAGGED_BOUNDARY (area=9870px, blobs=2, roughness=4.105)
datasets1/01320.png: JAGGED_BOUNDARY (area=3392px, blobs=1, roughness=12.297)
datasets1/01322.png: JAGGED_BOUNDARY (area=3045px, blobs=3, roughness=3.673)
datasets1/01323.png: JAGGED_BOUNDARY (area=460px, blobs=1, roughness=3.969)
datasets1/01326.png: JAGGED_BOUNDARY (area=22151px, blobs=1, roughness=4.888)
datasets1/01328.png: JAGGED_BOUNDARY (area=24279px, blobs=1, roughness=4.199)
datasets1/01330.png: JAGGED_BOUNDARY (area=4373px, blobs=1, roughness=21.144)
datasets1/01331.png: JAGGED_BOUNDARY (area=2047px, blobs=2, roughness=6.803)
datasets1/01333.png: JAGGED_BOUNDARY (area=20481px, blobs=1, roughness=3.593)
datasets1/01334.png: JAGGED_BOUNDARY (area=4096px, blobs=4, roughness=4.203)
datasets1/01335.png: JAGGED_BOUNDARY (area=3843px, blobs=1, roughness=20.045)
datasets1/01338.png: JAGGED_BOUNDARY (area=5652px, blobs=2, roughness=9.541)
datasets1/01339.png: JAGGED_BOUNDARY (area=7369px, blobs=4, roughness=3.753)
datasets1/01343.png: JAGGED_BOUNDARY (area=23425px, blobs=1, roughness=4.329)
datasets1/01345.png: JAGGED_BOUNDARY (area=3488px, blobs=1, roughness=11.037)
datasets1/01348.png: JAGGED_BOUNDARY (area=12935px, blobs=4, roughness=5.18)
datasets1/01349.png: JAGGED_BOUNDARY (area=2544px, blobs=1, roughness=11.848)
datasets1/01355.png: JAGGED_BOUNDARY (area=23804px, blobs=1, roughness=4.274)
datasets1/01360.png: JAGGED_BOUNDARY (area=360px, blobs=1, roughness=4.031)
datasets1/01361.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/01362.png: JAGGED_BOUNDARY (area=1167px, blobs=3, roughness=3.848)
datasets1/01363.png: JAGGED_BOUNDARY (area=1799px, blobs=2, roughness=6.965)
datasets1/01364.png: JAGGED_BOUNDARY (area=416px, blobs=1, roughness=4.438)
datasets1/01365.png: JAGGED_BOUNDARY (area=12519px, blobs=5, roughness=4.676)
datasets1/01366.png: JAGGED_BOUNDARY (area=670px, blobs=1, roughness=8.118)
datasets1/01367.png: JAGGED_BOUNDARY (area=8206px, blobs=5, roughness=3.667)
datasets1/01369.png: JAGGED_BOUNDARY (area=360px, blobs=1, roughness=4.031)
datasets1/01375.png: JAGGED_BOUNDARY (area=1077px, blobs=3, roughness=11.898)
datasets1/01378.png: JAGGED_BOUNDARY (area=4417px, blobs=3, roughness=4.954)
datasets1/01379.png: JAGGED_BOUNDARY (area=3613px, blobs=2, roughness=16.152)
datasets1/01380.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/01383.png: JAGGED_BOUNDARY (area=21012px, blobs=1, roughness=3.545)
datasets1/01384.png: JAGGED_BOUNDARY (area=3805px, blobs=3, roughness=3.718)
datasets1/01387.png: JAGGED_BOUNDARY (area=4032px, blobs=1, roughness=14.067)
datasets1/01389.png: JAGGED_BOUNDARY (area=1228px, blobs=2, roughness=7.248)
datasets1/01391.png: JAGGED_BOUNDARY (area=1167px, blobs=3, roughness=3.848)
datasets1/01393.png: JAGGED_BOUNDARY (area=11815px, blobs=5, roughness=4.405)
datasets1/01394.png: JAGGED_BOUNDARY (area=3613px, blobs=2, roughness=16.152)
datasets1/01396.png: JAGGED_BOUNDARY (area=369px, blobs=1, roughness=4.056)
datasets1/01397.png: JAGGED_BOUNDARY (area=3172px, blobs=1, roughness=18.732)
datasets1/01400.png: JAGGED_BOUNDARY (area=750px, blobs=1, roughness=8.617)
datasets1/01402.png: JAGGED_BOUNDARY (area=2038px, blobs=1, roughness=12.088)
datasets1/01407.png: JAGGED_BOUNDARY (area=18447px, blobs=1, roughness=3.525)
datasets1/01409.png: JAGGED_BOUNDARY (area=3997px, blobs=2, roughness=11.559)
datasets1/01410.png: JAGGED_BOUNDARY (area=4258px, blobs=3, roughness=3.721)
datasets1/01411.png: JAGGED_BOUNDARY (area=2899px, blobs=1, roughness=11.368)
datasets1/01414.png: JAGGED_BOUNDARY (area=5649px, blobs=2, roughness=9.04)
datasets1/01416.png: JAGGED_BOUNDARY (area=401px, blobs=1, roughness=3.964)
datasets1/01419.png: JAGGED_BOUNDARY (area=12885px, blobs=4, roughness=5.111)
datasets1/01420.png: JAGGED_BOUNDARY (area=22593px, blobs=1, roughness=4.457)
datasets1/01423.png: JAGGED_BOUNDARY (area=726px, blobs=1, roughness=8.659)
datasets1/01425.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/01427.png: JAGGED_BOUNDARY (area=1300px, blobs=2, roughness=4.749)
datasets1/01428.png: JAGGED_BOUNDARY (area=22684px, blobs=1, roughness=4.792)
datasets1/01431.png: JAGGED_BOUNDARY (area=3426px, blobs=3, roughness=5.375)
datasets1/01432.png: JAGGED_BOUNDARY (area=561px, blobs=1, roughness=9.225)
datasets1/01433.png: JAGGED_BOUNDARY (area=3521px, blobs=2, roughness=16.537)
datasets1/01434.png: JAGGED_BOUNDARY (area=3585px, blobs=2, roughness=16.049)
datasets1/01436.png: JAGGED_BOUNDARY (area=9008px, blobs=5, roughness=3.573)
datasets1/01437.png: JAGGED_BOUNDARY (area=3699px, blobs=3, roughness=4.945)
datasets1/01438.png: JAGGED_BOUNDARY (area=778px, blobs=1, roughness=8.529)
datasets1/01439.png: JAGGED_BOUNDARY (area=20253px, blobs=1, roughness=4.999)
datasets1/01440.png: JAGGED_BOUNDARY (area=5004px, blobs=4, roughness=3.606)
datasets1/01441.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/01442.png: JAGGED_BOUNDARY (area=3506px, blobs=1, roughness=12.647)
datasets1/01443.png: JAGGED_BOUNDARY (area=449px, blobs=1, roughness=4.21)
datasets1/01445.png: JAGGED_BOUNDARY (area=12085px, blobs=4, roughness=4.97)
datasets1/01446.png: JAGGED_BOUNDARY (area=4023px, blobs=3, roughness=3.719)
datasets1/01447.png: JAGGED_BOUNDARY (area=1282px, blobs=2, roughness=7.353)
datasets1/01448.png: JAGGED_BOUNDARY (area=3408px, blobs=3, roughness=3.569)
datasets1/01452.png: JAGGED_BOUNDARY (area=19267px, blobs=1, roughness=3.569)
datasets1/01453.png: JAGGED_BOUNDARY (area=3344px, blobs=1, roughness=16.42)
datasets1/01454.png: JAGGED_BOUNDARY (area=9388px, blobs=4, roughness=4.153)
datasets1/01455.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/01457.png: JAGGED_BOUNDARY (area=6300px, blobs=2, roughness=8.208)
datasets1/01459.png: JAGGED_BOUNDARY (area=380px, blobs=1, roughness=4.056)
datasets1/01462.png: JAGGED_BOUNDARY (area=3633px, blobs=3, roughness=3.669)
datasets1/01463.png: JAGGED_BOUNDARY (area=3220px, blobs=3, roughness=3.713)
datasets1/01464.png: JAGGED_BOUNDARY (area=4538px, blobs=1, roughness=20.972)
datasets1/01465.png: JAGGED_BOUNDARY (area=298px, blobs=1, roughness=4.221)
datasets1/01466.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/01468.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/01470.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/01472.png: JAGGED_BOUNDARY (area=360px, blobs=1, roughness=4.031)
datasets1/01475.png: JAGGED_BOUNDARY (area=3395px, blobs=1, roughness=20.388)
datasets1/01476.png: JAGGED_BOUNDARY (area=2869px, blobs=1, roughness=18.741)
datasets1/01478.png: JAGGED_BOUNDARY (area=24260px, blobs=1, roughness=4.546)
datasets1/01481.png: JAGGED_BOUNDARY (area=2187px, blobs=2, roughness=7.08)
datasets1/01482.png: JAGGED_BOUNDARY (area=161px, blobs=2, roughness=4.076)
datasets1/01484.png: JAGGED_BOUNDARY (area=8365px, blobs=5, roughness=3.81)
datasets1/01486.png: JAGGED_BOUNDARY (area=4248px, blobs=4, roughness=4.193)
datasets1/01488.png: JAGGED_BOUNDARY (area=3143px, blobs=1, roughness=11.731)
datasets1/01490.png: JAGGED_BOUNDARY (area=2406px, blobs=2, roughness=8.253)
datasets1/01491.png: JAGGED_BOUNDARY (area=10557px, blobs=2, roughness=4.08)
datasets1/01492.png: JAGGED_BOUNDARY (area=20660px, blobs=1, roughness=6.141)
datasets1/01493.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/01494.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/01495.png: JAGGED_BOUNDARY (area=3483px, blobs=1, roughness=12.536)
datasets1/01496.png: JAGGED_BOUNDARY (area=3273px, blobs=3, roughness=3.806)
datasets1/01497.png: JAGGED_BOUNDARY (area=369px, blobs=1, roughness=4.216)
datasets1/01499.png: JAGGED_BOUNDARY (area=2989px, blobs=1, roughness=9.314)
datasets1/01501.png: JAGGED_BOUNDARY (area=385px, blobs=1, roughness=3.968)
datasets1/01504.png: JAGGED_BOUNDARY (area=364px, blobs=1, roughness=4.121)
datasets1/01507.png: JAGGED_BOUNDARY (area=2104px, blobs=1, roughness=12.347)
datasets1/01509.png: JAGGED_BOUNDARY (area=17807px, blobs=4, roughness=3.856)
datasets1/01511.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/01513.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/01514.png: JAGGED_BOUNDARY (area=3958px, blobs=1, roughness=20.41)
datasets1/01515.png: JAGGED_BOUNDARY (area=3611px, blobs=3, roughness=3.648)
datasets1/01516.png: JAGGED_BOUNDARY (area=6910px, blobs=6, roughness=4.015)
datasets1/01518.png: JAGGED_BOUNDARY (area=5042px, blobs=4, roughness=3.687)
datasets1/01519.png: JAGGED_BOUNDARY (area=2099px, blobs=2, roughness=8.272)
datasets1/01522.png: JAGGED_BOUNDARY (area=700px, blobs=1, roughness=8.586)
datasets1/01523.png: JAGGED_BOUNDARY (area=3461px, blobs=2, roughness=10.969)
datasets1/01525.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/01529.png: JAGGED_BOUNDARY (area=19438px, blobs=1, roughness=3.552)
datasets1/01530.png: JAGGED_BOUNDARY (area=3780px, blobs=2, roughness=15.085)
datasets1/01531.png: JAGGED_BOUNDARY (area=3738px, blobs=1, roughness=23.19)
datasets1/01532.png: JAGGED_BOUNDARY (area=20849px, blobs=1, roughness=5.929)
datasets1/01533.png: JAGGED_BOUNDARY (area=3557px, blobs=1, roughness=14.594)
datasets1/01534.png: JAGGED_BOUNDARY (area=2704px, blobs=2, roughness=6.939)
datasets1/01536.png: JAGGED_BOUNDARY (area=3840px, blobs=3, roughness=3.605)
datasets1/01537.png: JAGGED_BOUNDARY (area=3217px, blobs=4, roughness=4.317)
datasets1/01538.png: JAGGED_BOUNDARY (area=9225px, blobs=5, roughness=3.613)
datasets1/01541.png: JAGGED_BOUNDARY (area=490px, blobs=1, roughness=3.922)
datasets1/01543.png: JAGGED_BOUNDARY (area=6449px, blobs=4, roughness=3.621)
datasets1/01545.png: JAGGED_BOUNDARY (area=6293px, blobs=1, roughness=15.517)
datasets1/01548.png: JAGGED_BOUNDARY (area=24231px, blobs=1, roughness=4.588)
datasets1/01549.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/01554.png: JAGGED_BOUNDARY (area=3761px, blobs=3, roughness=3.716)
datasets1/01555.png: JAGGED_BOUNDARY (area=2635px, blobs=2, roughness=6.931)
datasets1/01558.png: JAGGED_BOUNDARY (area=22415px, blobs=1, roughness=3.605)
datasets1/01559.png: JAGGED_BOUNDARY (area=3032px, blobs=1, roughness=10.227)
datasets1/01561.png: JAGGED_BOUNDARY (area=334px, blobs=1, roughness=4.079)
datasets1/01562.png: JAGGED_BOUNDARY (area=3728px, blobs=3, roughness=4.892)
datasets1/01566.png: JAGGED_BOUNDARY (area=22204px, blobs=1, roughness=4.886)
datasets1/01569.png: JAGGED_BOUNDARY (area=624px, blobs=1, roughness=8.093)
datasets1/01570.png: JAGGED_BOUNDARY (area=21950px, blobs=1, roughness=3.594)
datasets1/01571.png: JAGGED_BOUNDARY (area=12085px, blobs=4, roughness=4.97)
datasets1/01573.png: JAGGED_BOUNDARY (area=3820px, blobs=1, roughness=10.326)
datasets1/01575.png: JAGGED_BOUNDARY (area=2985px, blobs=1, roughness=10.332)
datasets1/01576.png: JAGGED_BOUNDARY (area=449px, blobs=1, roughness=4.472)
datasets1/01577.png: JAGGED_BOUNDARY (area=549px, blobs=1, roughness=8.983)
datasets1/01578.png: JAGGED_BOUNDARY (area=3207px, blobs=4, roughness=3.789)
datasets1/01580.png: JAGGED_BOUNDARY (area=6293px, blobs=1, roughness=15.517)
datasets1/01581.png: JAGGED_BOUNDARY (area=5864px, blobs=2, roughness=8.715)
datasets1/01583.png: JAGGED_BOUNDARY (area=574px, blobs=1, roughness=9.427)
datasets1/01584.png: JAGGED_BOUNDARY (area=4101px, blobs=1, roughness=20.489)
datasets1/01586.png: JAGGED_BOUNDARY (area=5622px, blobs=2, roughness=9.116)
datasets1/01587.png: JAGGED_BOUNDARY (area=3770px, blobs=2, roughness=15.402)
datasets1/01589.png: JAGGED_BOUNDARY (area=9584px, blobs=2, roughness=4.053)
datasets1/01593.png: JAGGED_BOUNDARY (area=20312px, blobs=1, roughness=3.502)
datasets1/01594.png: JAGGED_BOUNDARY (area=3884px, blobs=3, roughness=5.08)
datasets2/00001.png: TOO_FRAGMENTED (area=2421px, blobs=19, roughness=2.355)
datasets2/00004.png: JAGGED_BOUNDARY (area=4555px, blobs=3, roughness=5.421)
datasets2/00006.png: JAGGED_BOUNDARY (area=7704px, blobs=1, roughness=13.061)
datasets2/00012.png: JAGGED_BOUNDARY (area=4246px, blobs=4, roughness=4.653)
datasets2/00015.png: JAGGED_BOUNDARY (area=7691px, blobs=3, roughness=9.174)
datasets2/00016.png: JAGGED_BOUNDARY (area=1615px, blobs=1, roughness=6.997)
datasets2/00018.png: JAGGED_BOUNDARY (area=6640px, blobs=1, roughness=13.157)
datasets2/00022.png: JAGGED_BOUNDARY (area=2054px, blobs=2, roughness=3.683)
datasets2/00026.png: TOO_FRAGMENTED (area=2281px, blobs=25, roughness=2.316)
datasets2/00028.png: JAGGED_BOUNDARY (area=6930px, blobs=1, roughness=7.558)
datasets2/00037.png: JAGGED_BOUNDARY (area=6280px, blobs=3, roughness=10.281)
datasets2/00043.png: JAGGED_BOUNDARY (area=4439px, blobs=4, roughness=4.258)
datasets2/00047.png: JAGGED_BOUNDARY (area=4719px, blobs=3, roughness=5.131)
datasets2/00050.png: JAGGED_BOUNDARY (area=4245px, blobs=1, roughness=15.449)
datasets2/00051.png: JAGGED_BOUNDARY (area=1291px, blobs=1, roughness=8.882)
datasets2/00054.png: JAGGED_BOUNDARY (area=5793px, blobs=2, roughness=7.136)
datasets2/00055.png: JAGGED_BOUNDARY (area=1531px, blobs=1, roughness=6.821)
datasets2/00058.png: TOO_FRAGMENTED (area=1514px, blobs=16, roughness=2.288)
datasets2/00059.png: JAGGED_BOUNDARY (area=1245px, blobs=1, roughness=8.432)
datasets2/00060.png: JAGGED_BOUNDARY (area=1531px, blobs=1, roughness=6.821)
datasets2/00065.png: JAGGED_BOUNDARY (area=7773px, blobs=3, roughness=8.971)
datasets2/00071.png: TOO_FRAGMENTED (area=1780px, blobs=19, roughness=2.306)
datasets2/00072.png: JAGGED_BOUNDARY (area=7123px, blobs=1, roughness=6.69)
datasets2/00075.png: TOO_FRAGMENTED (area=1571px, blobs=16, roughness=2.394)
datasets2/00076.png: JAGGED_BOUNDARY (area=3813px, blobs=2, roughness=9.24)
datasets2/00079.png: JAGGED_BOUNDARY (area=1399px, blobs=1, roughness=8.847)
datasets2/00084.png: JAGGED_BOUNDARY (area=1435px, blobs=1, roughness=8.897)
datasets2/00087.png: JAGGED_BOUNDARY (area=4298px, blobs=2, roughness=9.405)
datasets2/00089.png: JAGGED_BOUNDARY (area=6640px, blobs=1, roughness=13.157)
datasets2/00093.png: TOO_FRAGMENTED (area=1571px, blobs=16, roughness=2.394)
datasets2/00095.png: JAGGED_BOUNDARY (area=3754px, blobs=1, roughness=15.604)
